IO Id,IO Name,Agency Name,Advertiser Name,Currency Type,Currency Exchange Rate,Ad Relevance,Booking Date,TA Rebate,IO Type,Agency Parent Company,Agency Type,ClientName
426567,TF.AST.Opera.OMD.Renault.VN.Jul -Sep.14,OMD,Renault S.A.,EUR,0.73,Automotive,,0,,Independent,Independent,
426577,TF.Exp.Opera.OMD.Renault.Clio.Jul.14,OMD,Renault S.A.,EUR,0.73,Automotive,,0,,Independent,Independent,
426587,Eastlink Wireless Campaign RWM-968,Rose Wagner Media,Eastlink,CAD,1.08,Finance,,0,,Independent,Independent,
426607,FFV.Omd.NissanJukeMc.July.2014,OMD,Nissan Motor Company Ltd,EUR,0.73,Automotive,,0,,Independent,Independent,
426617,FFV.Aegis.KelloggsChocovore.June.2014,Aegis Media,Kelloggs,EUR,0.73,Consumer Goods,,0,,Aegis,Holding Company,
426627,Johnson's Baby - Adotube - Q3/4 14,MEC,Johnson & Johnson,GBP,0.59,Consumer Goods,,0,,WPP,Holding Company,
426637,"TF, HMI, Havas, Mercure, Jul Aug 2014",Havas Digital,Accor,EUR,0.73,Travel and Transport,,0,,Havas,Holding Company,
426657,TF - Avon - July 14,Starcom Mediavest,"Avon Products, Inc.",GBP,0.59,Retail,,0,,Publicis Groupe,Holding Company,
426667,Appsnack Nicorette - J&J - July/Aug 14,Astus,Johnson & Johnson,GBP,0.59,Consumer Goods,,0,,Independent,Independent,
426677,Mc Donalds Launch.Display,Accuen Media,McDonald's Corporation,USD,1,Entertainment,,0,,Omnicom Group,Holding Company,
426687,Mindshare Toronto - Ford English - Always On2014 Q2 May English FDA Ontario,Xaxis,Ford Motor Company,CAD,1.08,Automotive,,0,,WPP,Holding Company,
426697,Mindshare Toronto - Ford English - Always On2014 Q2 May English FDA Prairies,Xaxis,Ford Motor Company,CAD,1.08,Automotive,,0,,WPP,Holding Company,
426707,Gilt Q3 2014,Direct,Gilt Groupe,USD,1,Retail,,0,,Direct,Direct,
426717,Mindshare Toronto - Ford French - Always On2014 Q2 May French FDA,Xaxis,Ford Motor Company,CAD,1.08,Automotive,,0,,WPP,Holding Company,
426727,2014 ATB Financial Independent Business Jul2_27,DDB Edmonton,ATB Financial,CAD,1.08,Finance,,0,,Omnicom Group,Holding Company,
426737,2014 Chrysler DAA July,Universal McCann,Fiat S.p.A.,CAD,1.08,Automotive,,0,,Interpublic,Holding Company,
426747,New England Toyota Dealers Q3 2014,TCAA,Toyota Motor Corporation,USD,1,Automotive,,0,,Independent,Independent,
426757,BRU Insert Supplement Display | Q3,Accuen Media,Toys R Us,USD,1,Retail,,0,,Omnicom Group,Holding Company,
426767,TRU Insert Supplement 2014 Display Q3,Accuen Media,Toys R Us,USD,1,Retail,,0,,Omnicom Group,Holding Company,
426777,Xaxis Direct - Kaspersky - Acq/Ren Q3 2014,Xaxis,Kaspersky Lab,USD,1,Technology,,0,,WPP,Holding Company,
426787,TF/DR/Match/CMCMarkets/July2014,Match Integration,CMC Markets,AUD,1.08,Finance,,0,,Independent,Independent,
426797,FFV/Brand/DJ'sBrandBook/JulyAug,Carat,David Jones,AUD,1.08,Retail,,0,,Aegis,Holding Company,
426807,Tribal Fusion_Dan Murphy's_FY15 Continuity,Mitchell & Partners,Woolworths Limited,AUD,1.08,Consumer Goods,,0,,Aegis,Holding Company,
426837,TF/Performance/LendLease/QLD,Frontier,Lend Lease Corporation,AUD,1.08,Finance,,0,,Independent,Independent,
426847,PHDIQ.ANZ Everyday Banking Q4 FY14.2014.Display,Spark PHDIQ,Australia and New Zealand Banking Group Limited,NZD,1.18,Finance,,0,,Publicis Groupe,Holding Company,
426857,FFV/Brand/Carat/PhilipsShaver/JulyDec2014,Carat,Philips,AUD,1.08,Retail,,0,,Aegis,Holding Company,
426867,TF Coles Finance Car Insurance July 2014,Universal McCann,Wesfarmers Limited,AUD,1.08,Retail,,0,,Interpublic,Holding Company,
426877,Universal Music - Sam Smith,MediaShop,Vivendi SA,ZAR,10.58,Telecoms,,0,,Independent,Independent,
426887,TransUnion July Burst,25am,Transunion,ZAR,10.58,Finance,,0,,Independent,Independent,
426897,Hitachi Ramadan Campaign 2014. Display,Vizeum,"Hitachi, Ltd.",USD,1,Hardware & Electronics,,0,,Aegis,Holding Company,
426907,TF.CPM-A.Havas.Arena.Barcelo.Jul.14,Arena Media,Barcelo Hotels,EUR,0.73,Travel and Transport,,0,,Havas,Holding Company,
426917,IKON Jetstar Q3 July Sept14.Display,Ikon Communications,Qantas Airways Limited,NZD,1.18,Travel and Transport,,0,,Independent,Independent,
426927,JLR SA - Technician of the year,Mindshare,Tata Group,ZAR,10.58,Business and Industry,,0,,WPP,Holding Company,
426937,TF - Johnson's Nicorette - July/Aug 14,Astus,Johnson & Johnson,GBP,0.59,Consumer Goods,,0,,Independent,Independent,
426947,AdoCPV.Magna.Initiative.Samsonite.Verano.Jul.14,Magna Global,Samsonite International S.A.,EUR,0.73,Retail,,0,,Interpublic,Holding Company,
426957,BOS Mightnight League - TF - July 14,Xaxis,Lloyds Banking Group PLC,GBP,0.59,Finance,,0,,WPP,Holding Company,
426967,Wonga SA July Burst,Unique Digital,Wonga.com,ZAR,10.58,Finance,,0,,Independent,Independent,
426977,Lufthansa - Baseline 2014 July & Aug Burst,Mindshare,Lufthansa,ZAR,10.58,Travel and Transport,,0,,WPP,Holding Company,
426987,Virgin Media DR - July 14,MGOMD,Liberty Global,GBP,0.59,Business and Industry,,0,,Omnicom Group,Holding Company,
426997,World Vision July 2014,Universal McCann,World Vision International,GBP,0.59,"Government, Social and Political",,0,,Interpublic,Holding Company,
427007,Avis CH & UK - Q3 14,House of Kaizen,"Avis Budget Group, Inc.",EUR,0.73,Automotive,,0,,Independent,Independent,
427017,AA UK July 2014,Universal McCann,American Airlines,GBP,0.59,Travel and Transport,,0,,Interpublic,Holding Company,
427027,Q2 Maxis One Plan_Device Package.Display,Mindshare,Maxis Communication Berhad,USD,1,Telecoms,,0,,WPP,Holding Company,
427037,MTN - Internet Services,Mindshare,MTN Group,ZAR,10.58,Telecoms,,0,,WPP,Holding Company,
427047,myThings.July 2014.FullTango,Direct,MyThings,USD,1,Media,,0,,Direct,Direct,
427057,Tata Motors Revotron Display Activity 2014.FFV,Convonix,Tata Group,INR,59.23,Business and Industry,,0,,Publicis group,Holding Company,
427067,RIIP Multi.FullTango,Direct,RIIP,USD,1,Technology,,0,,Direct,Direct,
427077,PayPal Appsnack July 14,Havas Digital,eBay Inc.,GBP,0.59,Media,,0,,Havas,Holding Company,
427087,2014 Mazda 3 Firefly Illuminate,Excelerator Media,Mazda Motor Corporation,CAD,1.08,Automotive,,0,,Independent,Independent,
427107,TFCPM.Havas.Arena.Movistar.Fund.Turismo.Jul.14,Arena Media,Telefonica,EUR,0.73,Telecoms,,0,,Havas,Holding Company,
427117,Tesco Mobile July 2014,Orion Trading,Tesco PLC,GBP,0.59,Hardware & Electronics,,0,,Interpublic,Holding Company,
427127,Hilton Big 12-July -R1,iProspect,The Blackstone Group L.P.,USD,1,Consumer Goods,,0,,Aegis,Holding Company,
427137,TF Dagmar July 2014 NL,Dagmar,Finnair,EUR,0.73,Travel and Transport,,0,,Independent,Independent,
427147,Budget Truck July 14,House of Kaizen,"Avis Budget Group, Inc.",USD,1,Automotive,,0,,Independent,Independent,
427157,TF Dagmar Aug 2014 NL,Dagmar,Finnair,EUR,0.73,Travel and Transport,,0,,Independent,Independent,
427167,Avis US Domestic July 14,House of Kaizen,"Avis Budget Group, Inc.",USD,1,Automotive,,0,,Independent,Independent,
427177,Budget US Domestic - July 14,House of Kaizen,"Avis Budget Group, Inc.",USD,1,Automotive,,0,,Independent,Independent,
427187,Sky Store B&K July/Aug 14,iProspect,"Twenty-First Century Fox, Inc.",GBP,0.59,Media,,0,,Aegis,Holding Company,
427197,TF - AMEX Gold July 14,Mindshare,American Express Company,GBP,0.59,Finance,,0,,WPP,Holding Company,
427207,TF - AMEX PLAT CASHBACK - JULY 1,Mindshare,American Express Company,GBP,0.59,Finance,,0,,WPP,Holding Company,
427217,TF RAC DR Breakdown Cover - July 14,Xaxis,Carlyle Group,GBP,0.59,Finance,,0,,WPP,Holding Company,
427227,Sage Africa,25am,Sage Group,ZAR,10.58,Technology,,0,,Independent,Independent,
427237,OM_14_DR Q3 2014,Direct,"Shutterfly, Inc.",USD,1,Retail,,0,,Direct,Direct,
427247,USCC Q3/Q4'14 Display,Starcom Mediavest,"Telephone and Data Systems, Inc",USD,1,Telecoms,,0,,Publicis Groupe,Holding Company,
427257,MDVIP - Community Joiners July 2014,Mindgruve,MDVIP Inc,USD,1,Health,,0,,Independent,Independent,
427267,VI_GM_H_Q3 JAA,Moxie Interactive,"Verizon Communications, Inc.",USD,1,Telecoms,,0,,Publicis Groupe,Holding Company,
427277,Birst Awareness & Retargeting Campaign - Campaign Extension,Hyper Relevance,Birst Inc.,USD,1,Business and Industry,,0,,Independent,Independent,
427287,ComEd - Gift Certificate Program,Paco,Exelon Corporation,USD,1,Energy,,0,,Independent,Independent,
